FinalID,FinalIDassigned,Phylum,Class,Order,Family,Genus
Mastogloea sp,Mastogloia,Bacillariophyta,Bacillariophyceae,Mastogloiales,Mastogloiaceae,Mastogloia
Rossithidium anastasiae,Rossithidium anastasiae,Bacillariophyta,Bacillariophyceae,Cocconeidales,Achnanthidiaceae,Rossithidium
Rossithidium pusillum (Grunow) Round & Bukhtiyarova,Rossithidium pusillum,Bacillariophyta,Bacillariophyceae,Cocconeidales,Achnanthidiaceae,Rossithidium
Ulnaria,Ulnaria,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Ulnaria
Ulnaria delicatissima var angustissima,Ulnaria delicatissima var angustissima,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Ulnaria
Ulnaria ungeriana,Ulnaria ungeriana,Bacillariophyta,Bacillariophyceae,Licmophorales,Ulnariaceae,Ulnaria
Punctastriata,Punctastriata,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Punctastriata
Punctastriata mimetica,Punctastriata mimetica,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Punctastriata
Xenotholos kerneri ,Xenotholos kerneri  ,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Xenotholos
Achnanthaceae,Achnanthaceae,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,NA
Achnanthales,Achnanthales,Bacillariophyta,Bacillariophyceae,Achnanthales,NA,NA
Achnanthes,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes acares,Achnanthes acares,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes biasolettiana var subatomus,Achnanthes biasolettiana var subatomus,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes brevipes,Achnanthes brevipes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes brevipes var intermedia,Achnanthes brevipes var intermedia,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes cf acares DWB,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes cf lanceolatoides SWAMP JPK,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes cf ricula,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes cf rupestoides SCCWRP MCB,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes cf stolida DWB,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes coarctata,Achnanthes coarctata,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes coarctata (Br_bisson ex W Smith) Grunow in Cleve & Grunow,Achnanthes coarctata,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes coarctata (BrÈbisson ex W Smith) Grunow in Cleve & Grunow,Achnanthes coarctata,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes coarctata (BrÈbisson ex W. Smith) Grunow in Cleve & Grunow,Achnanthes coarctata,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes crenulata,Achnanthes crenulata,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes exigua var elliptica,Achnanthes exigua var elliptica,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes inflata,Achnanthes inflata,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes lacus-vulcani,Achnanthes lacus-vulcani,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes lewisiana,Achnanthes lewisiana,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes lutheri,Achnanthes lutheri,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes ricula,Achnanthes ricula,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes saxonica,Achnanthes saxonica,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes sp 1,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes sp 1 PRW,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes sp 3,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes sp 4,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes sp 5,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes sp A SWAMP EWT,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes sp A SWAMP JPK,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes subhudsonis var kraeuselii,Achnanthes subhudsonis var kraeuselii,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes taeniata,Achnanthes taeniata,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthes ventralis,Achnanthes ventralis,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnanthidiaceae,Achnanthidiaceae,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,NA
Achnanthidium,Achnanthidium,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium alpestre,Achnanthidium alpestre,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium atomus,Achnanthidium atomus,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium biasolettianum,Achnanthidium biasolettianum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium biasolettianum (Grunow in Cleve & Grunow) Round & Bukhtiyarova,Achnanthidium biasolettianum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium catenatum,Achnanthidium catenatum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium cf deflexum SWAMP JPK,Achnanthidium,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium cf duthiei SWAMP KB,Achnanthidium,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium cf jackii DWB,Achnanthidium,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium cf minutissimum,Achnanthidium,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium deflexum,Achnanthidium deflexum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium deflexum (Reimer) Kingston,Achnanthidium deflexum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium eutrophilum,Achnanthidium eutrophilum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium exiguum,Achnanthidium exiguum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium exiguum (Grunow) Czarnecki,Achnanthidium exiguum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium exiguum var heterovalvum,Achnanthidium exiguum var heterovalvum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium exiguum var heterovalvum (Krasske) Czarnecki,Achnanthidium exiguum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium exiguum var. heterovalvum (Krasske) Czarnecki,Achnanthidium exiguum var heterovalvum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium jackii,Achnanthidium jackii,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium jackii Rabenhorst,Achnanthidium jackii,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium macrocephalum,Achnanthidium macrocephalum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium macrocephalum (Hustedt) Round & Bukhtiyarova,Achnanthidium macrocephalum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium microcephalum,Achnanthidium microcephalum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium minutissimum,Achnanthidium minutissimum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium minutissimum (K™tzing) Czarnecki,Achnanthidium minutissimum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium minutissimum (K¸tzing) Czarnecki,Achnanthidium minutissimum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium minutissimum var affinis,Achnanthidium minutissimum var affinis,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium minutissimum var gracillima,Achnanthidium minutissimum var gracillima,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium reimeri,Achnanthidium reimeri,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium rivulare,Achnanthidium rivulare,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium sp 1 SWAMP JR,Achnanthidium,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Actinastrum cf hantzschii,Actinastrum,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Actinastrum
Actinastrum hantzschii,Actinastrum hantzschii,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Actinastrum
Actinocyclus,Actinocyclus,Heterokontophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaeae,Actinocyclus
Actinocyclus normanii,Actinocyclus normanii,Heterokontophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaeae,Actinocyclus
Actinotaenium colpopelta f minus ,Actinotaenium colpopelta,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Actinotaenium 
Achnanthidium sp 1 SWAMP KB,Achnanthidium,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium sp 2 SWAMP KB,Achnanthidium,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium sp 3 SWAMP KB,Achnanthidium,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium sp A SWAMP KB,Achnanthidium,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium subhudsonis,Achnanthidium subhudsonis,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium subsalsum,Achnanthidium subsalsum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
"Achnanthidium subsalsum (J.B. Petersen) M. Aboal in Aboal, Alvarez-Cobelas, Cambra & Ector",Achnanthidium subsalsum,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnathes sp,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Achnathes sp 18,Achnanthes,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes
Adlafia bryophila,Adlafia bryophila,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia
Adlafia cf minuscula SWAMP JPK,Adlafia,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia
Adlafia minuscula,Adlafia minuscula,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia
Adlafia minuscula (Grunow) H. Lange-Bertalot in H. Lange-Bertalot & S.I. Genkal,Adlafia minuscula,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia
Adlafia minuscula var muralis,Adlafia minuscula var muralis,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia
Adlafia minuscula var. muralis (Grunow) H. Lange-Bertalot in H. Lange-Bertalot & S.I. Genkal,Adlafia minuscula var muralis,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia
Adlafia suchlandtii,Adlafia suchlandtii,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia
Amphicampa eruca,Amphicampa eruca,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Amphicampa
Amphipleura,Amphipleura,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura
Amphipleura pellucida,Amphipleura pellucida,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura
Amphipleura pellucida (K¸tzing) K¸tzing,Amphipleura pellucida,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura
Amphipleura sp 1 SCCWRP JPK,Amphipleura,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura
Amphipleura sp A SWAMP JPK,Amphipleura,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura
Amphipleura sp B SWAMP JPK,Amphipleura,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura
Amphipleura sp. 1 SCCWRP JPK,Amphipleura,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura
Amphora,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora aequalis,Amphora aequalis,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora cf stoermerii JPK,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora copulata,Amphora copulata,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora copulata (K™tzing) Schoeman & Archibald,Amphora copulata,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora copulata (K¸tzing) Schoeman & Archibald,Amphora copulata,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora copulatoides,Amphora copulatoides,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora inariensis,Amphora inariensis,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora inariensis K Krammer,Amphora inariensis,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora inariensis K. Krammer,Amphora inariensis,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora libyca,Amphora libyca,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora minutissima,Amphora minutissima,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora ovalis,Amphora ovalis,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora ovalis (K™tzing) K™tzing,Amphora ovalis,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora ovalis (K¸tzing) K¸tzing,Amphora ovalis,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora pediculus,Amphora pediculus,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora pediculus (K™tzing) Grunow in Schmidt et al,Amphora pediculus,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora pediculus (K¸tzing) Grunow in Schmidt et al,Amphora pediculus,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora pediculus (K¸tzing) Grunow in Schmidt et al.,Amphora pediculus,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora perpusilla,Amphora perpusilla,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora perpusilla (Grunow in Van Heurck) Grunow in Van Heurck,Amphora perpusilla,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora sp 1 CAL,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora sp 1 EPA JPK,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora sp 1 SCCWRP BSL,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora sp 1 SCCWRP MCB,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora sp 1 SWAMP JPK,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora sp 2 JPK,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora sp 2 SCCWRP BSL,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora sp 3 SCCWRP JPK,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora sp 4 SCCWRP JPK,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora sp 5 SCCWRP JPK,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora sp 5 SWAMP JPK,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora sp A SWAMP JPK,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora sp B SWAMP JPK,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora sp C SWAMP JPK,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora sp D SWAMP JPK,Amphora,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Anabaena,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena aequalis,Anabaena aequalis,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena californica,Anabaena californica,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena cf aequalis,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena cf cylindrica,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena cf felisii,Anabaena   ,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena cf inaequalis,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena cf iyengarii,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena cf lapponica,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena cf oscillatorioides,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena cf planctonica,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena cf variabilis,Anabaena,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena cylindrica,Anabaena cylindrica,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena felisii,Anabaena felisii  ,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena inaequalis,Anabaena inaequalis,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena inaequalis (K¸tz.) Bornet et Flahault,Anabaena inaequalis,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
