FinalIDassigned,designation
Cyclotella meneghiniana,Stressed
Cladophora glomerata,Stressed
Achnanthidium minutissimum,Reference
Nitzschia inconspicua,Stressed
Nitzschia amphibia,Stressed
Halamphora veneta,Stressed
Nitzschia palea,Stressed
Gomphonema parvulum,Stressed
Cocconeis placentula,Intermediate
Gomphonema,Reference
Navicula gregaria,Stressed
Planothidium lanceolatum,Reference
Amphora pediculus,Stressed
Planothidium frequentissimum,Stressed
Synedra ulna,Intermediate
Chamaesiphon polymorphus,Reference
Nitzschia microcephala,Stressed
Scenedesmus ellipticus,Stressed
Bacillaria paradoxa,Stressed
Spirogyra,Intermediate
Nitzschia dissipata,Reference
Denticula kuetzingii,Stressed
Staurosira construens,Stressed
Scenedesmus abundans,Stressed
Fragilaria vaucheriae,Reference
Melosira,Intermediate
Epithemia sorex,Intermediate
Cocconeis pediculus,Intermediate
Eolimna subminuscula,Stressed
Navicula veneta,Stressed
Planothidium delicatulum,Stressed
Scenedesmus dimorphus,Stressed
Reimeria sinuata,Reference
Sellaphora pupula,Stressed
Gomphonema kobayasii,Reference
Navicula cryptotenella,Reference
